country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,24.1,24.1,24,24.1,24.2,24.2,24.3,24.5,24.6,24.7,24.7,25.6,25.9,26.1,26.5,26.9,27.7,28.2,29.5,30.8,31.7,32.8,33.9,34.8,35.8,36.9,38,38.4,39
Angola,51.3,51.3,51.1,51.4,52,52.6,53,53.3,53.6,53.9,54.1,54.7,54.6,54.7,53,51.2,49.5,47.6,45.7,43.3,40.8,40.8,41,41.1,41.3,41.5,41.8,42.1,42.5
Albania,30.5,30.4,30.8,31.1,31.6,32.3,32.3,33,33.8,34.4,35,35.4,35.9,36.4,36.9,37.2,37.5,37.6,36,37.3,35.8,36.7,38.9,40,40,40.6,42.5,43,43.4
United Arab Emirates,58.2,58.3,58.3,58.4,58.4,58.4,58.3,58.4,58.7,58.7,59.3,59.9,60,60.2,60.3,60,59.9,60,60.5,61.1,61.8,62.3,62.8,63,63,63.3,63.8,63.9,64.4
Argentina,66.8,67.2,69.8,71,72.3,74.2,73.7,74.3,75.6,76.5,77.2,78.8,76.8,75.8,75.5,75.3,75,74.8,75.6,75.4,75.4,75.7,75.4,75.3,76.1,77,77.5,78,78.1
Armenia,39.3,39.2,39.3,39.4,39.8,40.1,40.4,40.8,41.2,41.5,42,42.5,43,43.3,43.6,44,44.5,44,43.5,44,44.4,45.1,46.7,48.5,48.8,50.6,52,51.4,51.2
Australia,71.1,71.7,71.6,71.9,72.6,73,73.2,73.7,73.9,73.5,74.5,74.7,75.2,75,75.3,75.3,75.5,75.1,75.6,75.8,76.3,76.5,76.9,76.9,78,78,78,77.5,78.4
Austria,58.4,59,59.8,60.3,60.6,62.3,63.5,64,64,63.9,64.8,65.4,65.6,68.4,67.2,66.6,67.2,68.5,69.7,69.9,69,69.3,69.5,69.4,69.7,70.1,71.2,70.9,71
Azerbaijan,45.4,45.3,46,45.7,45,45.2,45.9,46.6,46.5,48.1,49.2,48.3,48.4,48.6,48.6,48.1,48.8,48.3,49.2,48,48,48.1,48.5,49,49.6,49.3,49.3,49,49.2
Burundi,5.34,5.38,5.37,5.38,5.37,5.36,5.43,5.59,5.79,5.98,6.22,6.48,6.66,6.94,7.16,7.48,7.76,8.09,8.41,8.77,9.12,9.51,9.92,10.3,10.2,10.2,10.2,10.3,10.4
